"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"","Mobile",1,NA,NA,1.3,1,22,NA
"","Desktop",1,NA,NA,0.55,256,14.5,NA
"945","Desktop",2,163,2006,3.4,4,95,NA
"","Desktop",1,NA,NA,0.533,512,29.7,NA
"","Desktop",1,NA,NA,3,512,81.9,NA
"521","Desktop",1,NA,2005,2.8,1,84,NA
"516","Desktop",1,NA,2005,2.93,1,84,NA
"","Desktop",1,NA,NA,2.66,512,66.1,NA
"660","Desktop",1,NA,2005,3.6,2,115,NA
"","Mobile",1,NA,NA,0.75,256,24.6,NA
"","Mobile",1,NA,NA,0.65,256,7,NA
"","Mobile",1,NA,2002,2.2,512,35,NA
"G640T","Desktop",2,NA,2012,2.4,3,35,32
"","Mobile",1,NA,NA,0.333,256,11.8,NA
"E5700","Desktop",2,64,2010,3,2,65,NA
"T4400","Mobile",2,NA,2009,2.2,1,35,NA
"T2370","Mobile",2,NA,2008,1.73,1,35,NA
"E2220","Desktop",2,NA,2008,2.4,1,65,NA
"725","Mobile",1,NA,2004,1.6,2,7.5,NA
"","Mobile",1,NA,NA,1.4,1,22,NA
"","Desktop",1,NA,NA,0.533,256,14,NA
"","Desktop",1,NA,NA,0.5,512,28,NA
"940","Desktop",2,183,2006,3.2,4,130,NA
"","Desktop",1,NA,2004,3,1,89,NA
"651","Desktop",1,81,2006,3.4,2,86,NA
"520J","Desktop",1,NA,2004,2.8,1,84,NA
"515","Desktop",1,NA,2005,2.93,1,84,NA
"","Desktop",1,NA,NA,2.66,1,89,NA
"","Desktop",1,NA,NA,1.7,256,64,NA
"","Mobile",1,NA,NA,0.7,256,23,NA
"","Mobile",1,NA,NA,3.2,512,76,NA
"","Mobile",1,NA,NA,2.3,512,35,NA
"B960","Mobile",2,NA,2011,2.2,2,35,16
"","Mobile",1,NA,NA,0.3,512,11.1,NA
"957","Mobile",2,NA,2011,1.2,2,17,8.01
"","Desktop",1,NA,NA,0.233,512,17,NA
"T4500","Mobile",2,NA,2010,2.3,1,35,NA
"E6600","Desktop",2,75,2010,3.06,2,65,NA
"E5500","Desktop",2,72,2010,2.8,2,65,NA
"T2330","Mobile",2,NA,2007,1.6,1,35,NA
"","Desktop",1,NA,NA,2.8,1,89,NA
"935","Desktop",2,84,2007,3.2,4,95,NA
"","Desktop",1,NA,NA,0.5,256,13.2,NA
"","Desktop",1,NA,NA,1.4,256,31.2,NA
"","Desktop",1,NA,2004,2.8,1,89,NA
"650","Desktop",1,NA,2005,3.4,2,84,NA
"511","Desktop",1,NA,NA,2.8,1,84,NA
"","Desktop",1,NA,NA,2.53,512,61.5,NA
"","Desktop",1,NA,NA,1.6,512,38,NA
"","Mobile",1,NA,NA,0.65,256,21.5,NA
"","Mobile",1,NA,NA,1.26,512,22,NA
"","Mobile",1,NA,NA,3.06,512,70,NA
"552","Mobile",1,NA,NA,3.46,1,88,NA
"","Mobile",1,NA,NA,2.4,512,35,NA
"G645","Desktop",2,64,2012,2.9,3,65,32
"B970","Mobile",2,NA,2012,2.3,2,35,16
"967","Mobile",2,NA,2011,1.3,2,17,16
