"Processor_Number","Vertical_Segment","nb_of_Cores","nb_of_Threads","Max_nb_of_Memory_Channels","PCI_Express_Revision","Max_nb_of_PCI_Express_Lanes","Price_USD","Launch_Year","Lithography_nm","Base_Frequency_GHz","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Memory_Bandwidth_GBs"
"E5-2658V4","Embedded",14,28,4,3,40,1832,2016,14,2.3,2.8,35,105,1576.96,76.8
"E5-2680V4","Server",14,28,4,3,40,2111,2016,14,2.4,3.3,35,120,1576.96,76.8
"E5-2683V4","Server",16,32,4,3,40,1846,2016,14,2.1,3,40,120,1576.96,76.8
"E5-2687WV4","Server",12,24,4,3,40,2050.5,2016,14,3,3.5,30,160,1576.96,76.8
"E5-2690V4","Server",14,28,4,3,40,2111,2016,14,2.6,3.5,35,135,1576.96,76.8
"E5-2695V4","Server",18,36,4,3,40,5060,2016,14,2.1,3.3,45,120,1576.96,76.8
"E5-2697AV4","Server",16,32,4,3,40,2891,2016,14,2.6,3.6,40,145,1576.96,76.8
"E5-2697V4","Server",18,36,4,3,40,2702,2016,14,2.3,3.6,45,145,1576.96,76.8
"E5-2698V4","Server",20,40,4,3,40,3226,2016,14,2.2,3.6,50,135,1576.96,76.8
"E5-2699RV4","Embedded",22,44,4,3,40,4560,2016,14,2.2,3.6,55,145,1576.96,76.8
"E5-2699V4","Server",22,44,4,3,40,4115,2016,14,2.2,3.6,55,145,1576.96,76.8
"E5-2699AV4","Server",22,44,4,3,40,4938,2016,14,2.4,3.6,55,145,1576.96,76.8
"E5-4610V4","Server",10,20,4,3,40,1219,2016,14,1.8,1.8,25,105,1576.96,68
"E5-4620V4","Server",10,20,4,3,40,1668,2016,14,2.1,2.6,25,105,1576.96,68
"E5-4627V4","Server",10,10,4,3,40,2225,2016,14,2.6,3.2,25,135,1576.96,68
"E5-4628LV4","Embedded",14,28,4,3,40,2535,2016,14,1.8,2.2,35,75,1576.96,68
"E5-4640V4","Server",12,24,4,3,40,2837,2016,14,2.1,2.6,30,105,1576.96,68
"E5-4650V4","Server",14,28,4,3,40,3838,2016,14,2.2,2.8,35,105,1576.96,68
"E5-4655V4","Server",8,16,4,3,40,4616,2016,14,2.5,3.2,30,135,1576.96,68
"E5-4660V4","Server",16,32,4,3,40,4727,2016,14,2.2,3,40,120,1576.96,68
"E5-4667V4","Server",18,36,4,3,40,5729,2016,14,2.2,3,45,135,1576.96,68
"E5-4669V4","Server",22,44,4,3,40,7007,2016,14,2.2,3,55,135,1576.96,68
"E5-2603V3","Server",6,6,4,3,40,639.5,2014,22,1.6,1.6,15,85,768,51
"E5-2608LV3","Embedded",6,12,4,3,40,441,2014,22,2,2,15,52,768,59
"E5-2609V3","Server",6,6,4,3,40,306,2014,22,1.9,1.9,15,85,768,51
"E5-2618LV3","Embedded",8,16,4,3,40,779,2014,22,2.3,3.4,20,75,768,59
"E5-2620V3","Server",6,12,4,3,40,639.5,2014,22,2.4,3.2,15,85,768,59
"E5-2623V3","Server",4,8,4,3,40,444,2014,22,3,3.5,10,105,768,59
"E5-2628LV3","Embedded",10,20,4,3,40,1364,2014,22,2,2.5,25,75,768,59
"E5-2630V3","Server",8,16,4,3,40,1223,2014,22,2.4,3.2,20,85,768,59
"E5-2630LV3","Server",8,16,4,3,40,612,2014,22,1.8,2.9,20,55,768,59
"E5-2637V3","Server",4,8,4,3,40,996,2014,22,3.5,3.7,15,135,768,68
"E5-2640V3","Server",8,16,4,3,40,1223,2014,22,2.6,3.4,20,90,768,59
"E5-2643V3","Server",6,12,4,3,40,1552,2014,22,3.4,3.7,20,135,768,68
"E5-2650V3","Server",10,20,4,3,40,2225,2014,22,2.3,3,25,105,768,68
"E5-2648LV3","Embedded",12,24,4,3,40,1544,2014,22,1.8,2.5,30,75,768,68
"E5-2650LV3","Server",12,24,4,3,40,1329,2014,22,1.8,2.5,30,65,768,68
"E5-2658V3","Embedded",12,24,4,3,40,1832,2014,22,2.2,2.9,30,105,768,68
"E5-2658AV3","Embedded",12,24,4,3,40,1832,2015,22,2.2,2.9,30,105,768,68
"E5-2660V3","Server",10,20,4,3,40,2225,2014,22,2.6,3.3,25,105,768,68
"E5-2667V3","Server",8,16,4,3,40,2057,2014,22,3.2,3.6,20,135,768,68
"E5-2670V3","Server",12,24,4,3,40,2050.5,2014,22,2.3,3.1,30,120,768,68
"E5-2680V3","Server",12,24,4,3,40,2050.5,2014,22,2.5,3.3,30,120,768,68
"E5-2683V3","Server",14,28,4,3,40,1846,2014,22,2,3,35,120,768,68
"E5-4610V3","Server",10,20,4,3,40,1219,2015,22,1.7,1.7,25,105,768,68
"E5-4620V3","Server",10,20,4,3,40,1668,2015,22,2,2.6,25,105,768,68
"E5-2687WV3","Server",10,20,4,3,40,2225,2014,22,3.1,3.5,25,160,768,68
"E5-4627V3","Server",10,10,4,3,40,2225,2015,22,2.6,3.2,25,135,768,68
"E5-2690V3","Server",12,24,4,3,40,2050.5,2014,22,2.6,3.5,30,135,768,68
"E5-4640V3","Server",12,24,4,3,40,2859,2015,22,1.9,2.6,30,105,768,68
"E5-1680V3","Server",8,16,4,3,40,1723,2014,22,3.2,3.8,20,140,768,68
"E5-2695V3","Server",14,28,4,3,40,2111,2014,22,2.3,3.3,35,120,768,68
"E5-4648V3","Embedded",12,24,4,3,40,2405,2015,22,1.7,2.2,30,105,768,68
"E5-1660V3","Server",8,16,4,3,40,1080,2014,22,3,3.5,20,140,768,68
"E5-4650V3","Server",12,24,4,3,40,3838,2015,22,2.1,2.8,30,105,768,68
"E5-1650V3","Server",6,12,4,3,40,639.5,2014,22,3.5,3.8,15,140,768,68
"E5-2697V3","Server",14,28,4,3,40,2111,2014,22,2.6,3.6,35,145,768,68
"E5-4655V3","Server",6,12,4,3,40,4616,2015,22,2.9,3.2,30,135,768,68
"E5-2408LV3","Embedded",4,8,3,3,24,256,2015,22,1.8,1.8,10,45,384,51.2
"E5-1630V3","Server",4,8,4,3,40,372,2014,22,3.7,3.8,10,140,768,68
"E5-2698V3","Server",16,32,4,3,40,2891,2014,22,2.3,3.6,40,135,768,68
"E5-4660V3","Server",14,28,4,3,40,4727,2015,22,2.1,2.9,35,120,768,68
"E5-2418LV3","Embedded",6,12,3,3,24,472,2015,22,2,2,15,50,384,51.2
"E5-1620V3","Server",4,8,4,3,40,417,2014,22,3.5,3.6,10,140,768,68
"E5-4667V3","Server",16,32,4,3,40,5729,2015,22,2,2.9,40,135,768,68
"E5-2428LV3","Embedded",8,16,3,3,24,811,2015,22,1.8,1.8,20,55,384,51.2
"E5-4669V3","Server",18,36,4,3,40,7007,2015,22,2.1,2.9,45,135,768,68
"E5-2438LV3","Embedded",10,20,3,3,24,1555,2015,22,1.8,1.8,25,70,384,51.2
"E5-1428LV3","Embedded",8,16,3,3,24,608,2015,22,2,2,20,65,384,51.2
"E5-2699V3","Server",18,36,4,3,40,5060,2014,22,2.3,3.6,45,145,768,68
"E5-2690V2","Server",10,20,4,3,40,2225,2013,22,3,3.6,25,130,768,59.7
"E5-2680V2","Server",10,20,4,3,40,2225,2013,22,2.8,3.6,25,115,768,59.7
"E5-2687WV2","Server",8,16,4,3,40,1223,2013,22,3.4,4,25,150,256,59.7
"E5-2670V2","Server",10,20,4,3,40,2225,2013,22,2.5,3.3,25,115,768,59.7
"E5-2667V2","Server",8,16,4,3,40,2057,2013,22,3.3,4,25,130,768,59.7
"E5-2660V2","Server",10,20,4,3,40,2225,2013,22,2.2,3,25,95,768,59.7
"E5-2650LV2","Server",10,20,4,3,40,1219,2013,22,1.7,2.1,25,70,768,51.2
"E5-2658V2","Embedded",10,20,4,3,40,1750,2013,22,2.4,3,25,95,768,59.7
"E5-2650V2","Server",8,16,4,3,40,1223,2013,22,2.6,3.4,20,95,768,59.7
"E5-2470V2","Server",10,20,3,3,24,1440,2014,22,2.4,3.2,25,95,384,38.4
"E5-2648LV2","Embedded",10,20,4,3,40,1479,2013,22,1.9,2.5,25,70,768,59.7
"E5-2450LV2","Server",10,20,3,3,24,1219,2014,22,1.7,2.1,25,60,384,38.4
"E5-2643V2","Server",6,12,4,3,40,1552,2013,22,3.5,3.8,25,130,768,59.7
"E5-2450V2","Server",8,16,3,3,24,1107,2014,22,2.5,3.3,20,95,384,38.4
"E5-4657LV2","Server",12,24,4,3,40,4394,2014,22,2.4,2.9,30,115,768,59.7
"E5-2448LV2","Embedded",10,20,3,3,24,1424,2014,22,1.8,2.4,25,70,384,38.4
"E5-2640V2","Server",8,16,4,3,40,1223,2013,22,2,2.5,20,95,768,51.2
"E5-2637V2","Server",4,8,4,3,40,996,2013,22,3.5,3.8,15,130,768,59.7
"E5-4650V2","Server",10,20,4,3,40,3616,2014,22,2.4,2.9,25,95,768,59.7
"E5-2440V2","Server",8,16,3,3,24,832,2014,22,1.9,2.4,20,95,384,38.4
"E5-2630LV2","Server",6,12,4,3,40,612,2013,22,2.4,2.8,15,60,768,51.2
"E5-2430LV2","Server",6,12,3,3,24,612,2014,22,2.4,2.8,15,60,384,38.4
"E5-4640V2","Server",10,20,4,3,40,2725,2014,22,2.2,2.7,20,95,768,59.7
"E5-2630V2","Server",6,12,4,3,40,639.5,2013,22,2.6,3.1,15,80,768,51.2
"E5-2430V2","Server",6,12,3,3,24,551,2014,22,2.5,3,15,80,384,38.4
"E5-4627V2","Server",8,8,4,3,40,2108,2014,22,3.3,3.6,16,130,768,59.7
"E5-4624LV2","Embedded",10,20,4,3,40,2405,2014,22,1.9,2.5,25,70,768,59.7
"E5-2628LV2","Embedded",8,16,4,3,40,1216,2013,22,1.9,2.4,20,70,768,51.2
"E5-2428LV2","Embedded",8,16,3,3,24,1013,2014,22,1.8,2.3,20,60,384,38.4
"E5-2620V2","Server",6,12,4,3,40,639.5,2013,22,2.1,2.6,15,80,768,51.2
"E5-2420V2","Server",6,12,3,3,24,406,2014,22,2.2,2.7,15,80,384,38.4
"E5-1660V2","Server",6,12,4,3,40,639.5,2013,22,3.7,4,15,130,256,59.7
"E5-4620V2","Server",8,16,4,3,40,1611,2014,22,2.6,3,20,95,768,51.2
"E5-2618LV2","Embedded",6,12,4,3,40,632,2013,22,2,2,15,50,768,42.6
"E5-2418LV2","Embedded",6,12,3,3,24,607,2014,22,2,2,15,50,384,32
"E5-1650V2","Server",6,12,4,3,40,583,2013,22,3.5,3.9,12,130,256,59.7
"E5-4610V2","Server",8,16,4,3,40,1219,2014,22,2.3,2.7,16,95,768,51.2
"E5-4607V2","Server",6,12,4,3,40,885,2014,22,2.6,2.6,15,95,768,42.6
"E5-2609V2","Server",4,4,4,3,40,417,2013,22,2.5,2.5,10,80,768,42.6
"E5-2407V2","Server",4,4,3,3,24,250,2014,22,2.4,2.4,10,80,384,32
"E5-1620V2","Server",4,8,4,3,40,294,2013,22,3.7,3.9,10,130,256,59.7
"E5-1428LV2","Embedded",6,12,3,3,24,494,2014,22,2.2,2.7,15,60,384,38.4
"E5-2603V2","Server",4,4,4,3,40,202,2013,22,1.8,1.8,10,80,768,42.6
"E5-2403V2","Server",4,4,3,3,24,192,2014,22,1.8,1.8,10,80,384,32
"E5-4603V2","Server",4,8,4,3,40,551,2014,22,2.2,2.2,10,95,768,42.6
"E5-2687W","Server",8,16,4,3,40,1223,2012,32,3.1,3.8,20,150,256,51.2
"E5-2680","Server",8,16,4,3,40,1223,2012,32,2.7,3.5,20,130,384,51.2
"E5-2670","Server",8,16,4,3,40,1223,2012,32,2.6,3.3,20,115,384,51.2
"E5-2667","Server",6,12,4,3,40,1552,2012,32,2.9,3.5,15,130,384,51.2
"E5-2665","Server",8,16,4,3,40,1223,2012,32,2.4,3.1,20,115,384,51.2
"E5-2660","Server",8,16,4,3,40,1223,2012,32,2.2,3,20,95,384,51.2
"E5-2658","Embedded",8,16,4,3,40,1479,2012,32,2.1,2.4,20,95,384,51.2
"E5-2650","Server",8,16,4,3,40,1223,2012,32,2,2.8,20,95,384,51.2
"E5-2648L","Embedded",8,16,4,3,40,1266,2012,32,1.8,2.1,20,70,384,25.6
"E5-2650L","Server",8,16,4,3,40,1107,2012,32,1.8,2.3,20,70,384,51.2
"E5-2643","Server",4,8,4,3,40,885,2012,32,3.3,3.5,10,130,384,51.2
"E5-2470","Server",8,16,3,3,24,1223,2012,32,2.3,3.1,20,95,384,38.4
"E5-2450L","Server",8,16,3,3,24,1107,2012,32,1.8,2.3,20,70,384,38.4
"E5-2640","Server",6,12,4,3,40,639.5,2012,32,2.5,3,15,95,384,42.6
"E5-2450","Server",8,16,3,3,24,1223,2012,32,2.1,2.9,20,95,384,38.4
"E5-2637","Server",2,4,4,3,40,885,2012,32,3,3.5,5,80,384,51.2
"E5-2448L","Embedded",8,16,3,3,24,1266,2012,32,1.8,2.1,20,70,384,25.6
" E5-4650L","Server",8,16,4,3,40,1223,2012,32,2.6,3.1,20,115,384,51.2
"E5-2630L","Server",6,12,4,3,40,662,2012,32,2,2.5,15,60,384,42.6
"E5-4650","Server",8,16,4,3,40,1223,2012,32,2.7,3.3,20,130,384,51.2
"E5-2440","Server",6,12,3,3,24,639.5,2012,32,2.4,2.9,15,95,384,32
"E5-2630","Server",6,12,4,3,40,639.5,2012,32,2.3,2.8,15,95,384,42.6
"E5-1660","Server",6,12,4,3,40,639.5,2012,32,3.3,3.9,15,130,256,51.2
"E5-2430L","Server",6,12,3,3,24,662,2012,32,2,2.5,15,60,384,32
"E5-2430","Server",6,12,3,3,24,639.5,2012,32,2.2,2.7,15,95,384,32
"E5-4640","Server",8,16,4,3,40,1223,2012,32,2.4,2.8,20,95,384,51.2
"E5-2428L","Embedded",6,12,3,3,24,692,2012,32,1.8,2,15,60,384,25.6
"E5-4620","Server",8,16,4,3,40,1223,2012,32,2.2,2.6,16,95,384,42.6
"E5-1650","Server",6,12,4,3,40,583,2012,32,3.2,3.8,12,130,256,51.2
"E5-2620","Server",6,12,4,3,40,639.5,2012,32,2,2.5,15,95,384,42.6
"E5-2420","Server",6,12,3,3,24,639.5,2012,32,1.9,2.4,15,95,384,32
"E5-4617","Server",6,6,4,3,40,1611,2012,32,2.9,3.4,15,130,384,51.2
"E5-2418L","Embedded",4,8,3,3,24,428,2012,32,2,2.1,10,50,384,25.6
"E5-1428L","Server",6,12,3,3,24,480,2012,32,1.8,1.8,15,60,384,32
"E5-1620","Server",4,8,4,3,40,294,2012,32,3.6,3.8,10,130,375,51.2
"E5-2609","Server",4,4,4,3,40,417,2012,32,2.4,2.4,10,80,384,34.1
"E5-4610","Server",6,12,4,3,40,639.5,2012,32,2.4,2.9,15,95,384,42.6
"E5-2407","Server",4,4,3,3,24,417,2012,32,2.2,2.2,10,80,384,25
"E5-4607","Server",6,12,4,3,40,639.5,2012,32,2.2,2.2,12,95,384,34.1
"E5-2403","Server",4,4,3,3,24,417,2012,32,1.8,1.8,10,80,384,25
"E5-4603","Server",4,8,4,3,40,417,2012,32,2,2,10,95,384,34.1
"E5-2603","Server",4,4,4,3,40,417,2012,32,1.8,1.8,10,80,384,34.1
"E3-1225V6","Server",4,4,2,3,16,417,2017,14,3.3,3.7,8,73,64,37.5
"E3-1230V6","Server",4,8,2,3,16,417,2017,14,3.5,3.9,8,72,64,37.5
"E3-1240V6","Server",4,8,2,3,16,417,2017,14,3.7,4.1,8,72,64,37.5
"E3-1245V6","Server",4,8,2,3,16,417,2017,14,3.7,4.1,8,73,64,37.5
"E3-1270V6","Server",4,8,2,3,16,417,2017,14,3.8,4.2,8,72,64,37.5
"E3-1275V6","Server",4,8,2,3,16,339,2017,14,3.8,4.2,8,73,64,37.5
"E3-1280V6","Server",4,8,2,3,16,383,2017,14,3.9,4.2,8,72,64,37.5
"E3-1285V6","Server",4,8,2,3,16,450,2017,14,4.1,4.5,8,79,64,37.5
"E3-1501LV6","Embedded",4,4,2,3,16,377,2017,14,2.1,2.9,6,25,64,34.1
"E3-1501MV6","Embedded",4,4,2,3,16,377,2017,14,2.9,3.6,6,45,64,34.1
"E3-1505LV6","Embedded",4,8,2,3,16,433,2017,14,2.2,3,8,25,64,34.1
"E3-1505MV6","Mobile",4,8,2,3,16,434,2017,14,3,4,8,45,64,34.1
"E3-1535MV6","Mobile",4,8,2,3,16,623,2017,14,3.1,4.2,8,45,64,34.1
"E3-1225V5","Server",4,4,2,3,16,417,2015,14,3.3,3.7,8,80,64,34.1
"E3-1230V5","Server",4,8,2,3,16,417,2015,14,3.4,3.8,8,80,64,34.1
"E3-1240V5","Server",4,8,2,3,16,417,2015,14,3.5,3.9,8,80,64,34.1
"E3-1235LV5","Server",4,4,2,3,16,250,2015,14,2,3,8,25,64,34.1
"E3-1240LV5","Server",4,8,2,3,16,278,2015,14,2.1,3.2,8,25,64,34.1
"E3-1245V5","Server",4,8,2,3,16,417,2015,14,3.5,3.9,8,80,64,34.1
"E3-1260LV5","Server",4,8,2,3,16,294,2015,14,2.9,3.9,8,45,64,34.1
"E3-1268LV5","Embedded",4,8,2,3,16,377,2015,14,2.4,3.4,8,35,64,34.1
"E3-1270V5","Server",4,8,2,3,16,417,2015,14,3.6,4,8,80,64,34.1
"E3-1275V5","Server",4,8,2,3,16,417,2015,14,3.6,4,8,80,64,34.1
"E3-1280V5","Server",4,8,2,3,16,612,2015,14,3.7,4,8,80,64,34.1
"E3-1505MV5","Mobile",4,8,2,3,16,434,2015,14,2.8,3.7,8,45,64,34.1
"E3-1505LV5","Embedded",4,8,2,3,16,433,2015,14,2,2.8,8,25,64,34.1
"E3-1515MV5","Mobile",4,8,2,3,16,489,2016,14,2.8,3.7,8,45,64,34.1
"E3-1535MV5","Mobile",4,8,2,3,16,623,2015,14,2.9,3.8,8,45,64,34.1
"E3-1545MV5","Mobile",4,8,2,3,16,679,2016,14,2.9,3.8,8,45,64,34.1
"E3-1558LV5","Embedded",4,8,2,3,16,396,2016,14,1.9,3.3,8,45,64,63.85
"E3-1565LV5","Server",4,8,2,3,16,417,2016,14,2.5,3.5,8,35,64,76.8
"E3-1575MV5","Mobile",4,8,2,3,16,1207,2016,14,3,3.9,8,45,64,34.1
"E3-1578LV5","Embedded",4,8,2,3,16,449,2016,14,2,3.4,8,45,64,63.85
"E3-1585LV5","Server",4,8,2,3,16,445,2016,14,3,3.7,8,45,64,76.8
"E3-1585V5","Server",4,8,2,3,16,556,2016,14,3.5,3.9,8,65,64,76.8
"E3-1265LV4","Server",4,8,2,3,16,417,2015,14,2.3,3.3,6,35,32,29.8
"E3-1278LV4","Embedded",4,8,2,3,16,449,2015,14,2,3.3,6,47,32,25.6
"E3-1285V4","Server",4,8,2,3,16,556,2015,14,3.5,3.8,6,95,32,29.8
"E3-1285LV4","Server",4,8,2,3,16,445,2015,14,3.4,3.8,6,65,32,29.8
"E3-1220LV3","Server",2,4,2,3,16,343,2013,22,1.1,1.5,4,13,32,25.6
"E3-1226V3","Server",4,4,2,3,16,417,2014,22,3.3,3.7,8,84,32,25.6
"E3-1225V3","Server",4,4,2,3,16,417,2013,22,3.2,3.6,8,84,32,25.6
"E3-1230 v3","Server",4,8,2,3,16,417,2013,22,3.3,3.7,8,80,32,25.6
"E3-1230Lv3","Server",4,8,2,3,16,250,2013,22,1.8,2.8,8,25,32,25.6
"E3-1231V3","Server",4,8,2,3,16,417,2014,22,3.4,3.8,8,80,32,25.6
"E3-1240 v3","Server",4,8,2,3,16,417,2013,22,3.4,3.8,8,80,32,25.6
"E3-1240LV3","Server",4,8,2,3,16,278,2014,22,2,3,8,25,32,25.6
"E3-1241V3","Server",4,8,2,3,16,417,2014,22,3.5,3.9,8,80,32,25.6
"E3-1245 v3","Server",4,8,2,3,16,417,2013,22,3.4,3.8,8,84,32,25.6
"E3-1246V3","Server",4,8,2,3,16,417,2014,22,3.5,3.9,8,84,32,25.6
"E3-1275 v3","Server",4,8,2,3,16,417,2013,22,3.5,3.9,8,84,32,25.6
"E3-1265Lv3","Server",4,8,2,3,16,294,2013,22,2.5,3.7,8,45,32,25.6
"E3-1271V3","Server",4,8,2,3,16,417,2014,22,3.6,4,8,80,32,25.6
"E3-1268LV3","Embedded",4,8,2,3,16,377,2013,22,2.3,3.3,8,45,32,25.6
"E3-1270 v3","Server",4,8,2,3,16,417,2013,22,3.5,3.9,8,80,32,25.6
"E3-1275LV3","Server",4,8,2,3,16,328,2014,22,2.7,3.9,8,45,32,25.6
"E3-1280 v3","Server",4,8,2,3,16,612,2013,22,3.6,4,8,82,32,25.6
"E3-1276V3","Server",4,8,2,3,16,417,2014,22,3.6,4,8,84,32,25.6
"E3-1281V3","Server",4,8,2,3,16,612,2014,22,3.7,4.1,8,82,32,25.6
"E3-1285 v3","Server",4,8,2,3,16,662,2013,22,3.6,4,8,84,32,25.6
"E3-1285Lv3","Server",4,8,2,3,16,417,2013,22,3.1,3.9,8,65,32,25.6
"E3-1286V3","Server",4,8,2,3,16,662,2014,22,3.7,4.1,8,84,32,25.6
"E3-1286LV3","Server",4,8,2,3,16,774,2014,22,3.2,4,8,65,32,25.6
"E3-1105CV2","Embedded",4,8,2,3,20,389,2013,22,1.8,1.8,8,25,32,25.6
"E3-1125CV2","Embedded",4,8,2,3,20,545,2013,22,2.5,2.5,8,40,32,25.6
"E3-1220LV2","Server",2,4,2,3,40,189,2012,22,2.3,3.5,3,17,32.23,25.6
"E3-1220V2","Server",4,4,2,3,40,417,2012,22,3.1,3.5,8,69,32.77,25.6
"E3-1225V2","Server",4,4,2,3,40,417,2012,22,3.2,3.6,8,77,32.77,25.6
"E3-1230V2","Server",4,8,2,3,40,417,2012,22,3.3,3.7,8,69,32.77,25.6
"E3-1240V2","Server",4,8,2,3,40,417,2012,22,3.4,3.8,8,69,32.77,25.6
"E3-1245V2","Server",4,8,2,3,40,417,2012,22,3.4,3.8,8,77,32.77,25.6
"E3-1265LV2","Server",4,8,2,3,40,417,2012,22,2.5,3.5,8,45,32.77,38.4
"E3-1270V2","Server",4,8,2,3,40,417,2012,22,3.5,3.9,8,69,32.77,25.6
"E3-1280V2","Server",4,8,2,3,40,623,2012,22,3.6,4,8,69,32.77,25.6
"E3-1275V2","Server",4,8,2,3,40,417,2012,22,3.5,3.9,8,77,32.77,25.6
"E3-1290V2","Server",4,8,2,3,40,417,2012,22,3.7,4.1,8,87,32.77,25.6
"E3-1220","Server",4,4,2,2,20,417,2011,32,3.1,3.4,8,80,32,21
"E3-1220L","Server",2,4,2,2,20,189,2011,32,2.2,3.4,3,20,32,21
"E3-1225","Server",4,4,2,2,20,417,2011,32,3.1,3.4,6,95,32,21
"E3-1230","Server",4,8,2,2,20,230,2011,32,3.2,3.6,8,80,32,21
"E3-1240","Server",4,8,2,2,20,417,2011,32,3.3,3.7,8,80,32,21
"E3-1235","Server",4,8,2,2,20,250,2011,32,3.2,3.6,8,95,32,21
"E3-1245","Server",4,8,2,2,20,417,2011,32,3.3,3.7,8,95,32,21
"E3-1260L","Server",4,8,2,2,20,294,2011,32,2.4,3.3,8,45,32,21
"E3-1275","Server",4,8,2,2,20,417,2011,32,3.4,3.8,8,95,32,21
"E3-1270","Server",4,8,2,2,20,417,2011,32,3.4,3.8,8,80,32,21
"E3-1280","Server",4,8,2,2,20,417,2011,32,3.5,3.9,8,95,32,21
"D-1518","Server",4,8,2,2,32,234,2015,14,2.2,2.2,6,35,128,68
"D-1520","Server",4,8,2,2,32,199,2015,14,2.2,2.6,6,45,128,68
"D-1521","Server",4,8,2,2,32,199,2015,14,2.4,2.7,6,45,128,68
"D-1523N","Server",4,8,2,2,32,256,2017,14,2,2.6,6,45,128,37.5
"D-1527","Server",4,8,2,2,32,259,2015,14,2.2,2.7,6,35,128,68
"D-1528","Server",6,12,2,2,32,389,2015,14,1.9,2.5,9,35,128,68
"D-1529","Server",4,8,2,2,24,324,2016,14,1.3,1.3,6,20,128,76.8
"D-1531","Server",6,12,2,2,32,348,2015,14,2.2,2.7,9,45,128,68
"D-1533N","Server",6,12,2,2,32,470,2017,14,2.1,2.7,9,45,128,37.5
"D-1537","Server",8,16,2,2,32,571,2015,14,1.7,2.3,12,35,128,68
"D-1539","Server",8,16,2,2,32,590,2016,14,1.6,2.2,12,35,128,76.8
"D-1540","Server",8,16,2,2,32,581,2015,14,2,2.6,12,45,128,68
"D-1541","Server",8,16,2,2,32,581,2015,14,2.1,2.7,12,45,128,68
"D-1543N","Server",8,16,2,2,32,652,2017,14,1.9,2.5,12,45,128,37.5
"D-1548","Server",8,16,2,2,32,675,2015,14,2,2.6,12,45,128,68
"D-1559","Server",12,24,2,2,32,883,2016,14,1.5,2.1,18,45,128,76.8
"D-1557","Server",12,24,2,2,32,844,2016,14,1.5,2.1,18,45,128,76.8
"D-1567","Server",12,24,2,2,32,1299,2016,14,2.1,2.7,18,65,128,76.8
"D-1553N","Server",8,16,2,2,32,855,2017,14,2.3,2.7,12,65,128,37.5
"D-1571","Server",16,32,2,2,32,1222,2016,14,1.3,2.1,24,45,128,76.8
"D-1577","Server",16,32,2,2,32,1477,2016,14,1.3,2.1,24,45,128,76.8
"E5606","Server",4,4,3,3,40,417,2011,32,2.13,2.13,8,80,288,25.6
"","Server",1,1,4,3,40,1850,2003,130,2.4,2.4,512,40,384,25.6
"","Server",1,1,4,3,40,1850,2004,90,2.8,2.8,1,55,384,25.6
"E5607","Server",4,4,3,3,40,417,2011,32,2.26,2.26,8,80,288,25.6
"","Server",1,1,4,3,40,1850,2002,130,1.6,1.6,512,30,384,25.6
"E5620","Server",4,8,3,3,40,417,2010,32,2.4,2.66,12,80,288,25.6
"","Server",1,1,4,3,40,1850,2002,130,3,3,512,85,384,25.6
"E5630","Server",4,8,3,3,40,417,2010,32,2.53,2.8,12,80,288,25.6
"","Server",1,1,4,3,40,3692,2002,130,3,3,4,85,384,25.6
"","Server",1,1,4,3,40,1850,2004,90,3.8,3.8,2,110,384,25.6
"E5640","Server",4,8,3,3,40,417,2010,32,2.66,2.93,12,80,288,25.6
"","Server",1,1,4,3,40,1850,2002,130,2.8,2.8,512,74,384,25.6
"","Server",1,1,4,3,40,1850,2004,90,3.8,3.8,2,110,384,25.6
"E5645","Server",6,12,3,3,40,639.5,2010,32,2.4,2.67,12,80,288,32
"","Server",1,1,4,3,40,3692,2002,130,2.8,2.8,2,72,384,25.6
"E5649","Server",6,12,3,3,40,639.5,2011,32,2.53,2.93,12,80,288,32
"","Server",1,1,4,3,40,1980,2002,130,2.7,2.7,2,80,384,25.6
"","Server",1,1,4,3,40,1850,2004,90,3.6,3.6,2,110,384,25.6
"L5609","Server",4,4,3,3,40,440,2010,32,1.86,1.86,12,40,288,25.6
"","Server",1,1,4,3,40,1850,2004,90,3.6,3.6,2,110,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,2.6,2.6,512,60,384,25.6
"L5618","Server",4,8,4,3,40,437,2010,32,1.87,2.26,12,40,384,25.6
"E5502","Server",2,2,3,3,40,343,2009,45,1.86,1.86,4,80,144,19.2
"E5405","Server",4,4,4,3,40,231,2007,45,2,2,12,80,384,25.6
"","Server",1,1,4,3,40,1980,2002,130,2.5,2.5,1,66,384,25.6
"","Server",1,1,4,3,40,1850,2004,90,3.6,3.6,1,103,384,25.6
"L5630","Server",4,8,3,3,40,417,2010,32,2.13,2.4,12,40,288,25.6
"E5503","Server",2,2,3,3,40,343,2010,45,2,2,4,80,144,19.2
"E5410","Server",4,4,4,3,40,284,2007,45,2.33,2.33,12,80,384,25.6
"","Server",1,1,4,3,40,1850,2002,130,2.4,2.4,512,65,384,25.6
"","Server",1,1,4,3,40,1850,2004,90,3.4,3.4,2,110,384,25.6
"E5504","Server",4,4,3,3,40,221,2009,45,2,2,4,80,144,19.2
"L5638","Server",6,12,4,3,40,525,2010,32,2,2.4,12,60,384,25.6
"E5420","Server",4,4,4,3,40,347,2007,45,2.5,2.5,12,80,384,25.6
