"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"N450","Mobile",1,64,2010,1.66,512,5.5,2
"N455","Mobile",1,64,2010,1.66,512,6.5,2
"D410","Desktop",1,43,2010,1.66,512,10,4
"D510","Desktop",2,63,2010,1.66,1,13,4
"E680","Embedded",1,74,2010,1.6,512,4.5,2
"E680T","Embedded",1,85,2010,1.6,512,4.5,2
"D525","Desktop",2,63,2010,1.8,1,13,4
"D425","Desktop",1,42,2010,1.8,512,10,4
"X1021","Embedded",1,13.39,2014,0.4,16,2.2,2
"X1020D","Embedded",1,10.7,2014,0.4,16,2.2,2
"X1020","Embedded",1,11.23,2014,0.4,16,2.2,2
"X1011","Embedded",1,12.31,2014,0.4,16,2.2,2
"X1010","Embedded",1,10.16,2014,0.4,16,2.2,2
"X1001","Embedded",1,11.77,2014,0.4,16,2.2,2
"X1000","Embedded",1,9.62,2013,0.4,16,2.2,2
"7290F","Server",72,3368,2016,1.7,36,260,384
"D-1513N","Server",4,192,2017,2.2,6,35,128
"E3-1105C","Embedded",4,389,2012,1,6,25,32
"E3-1258LV4","Embedded",4,393,2015,3.2,6,47,32
"E5-1630V4","Server",4,406,2016,4,10,140,1576.96
"E5-1660V4","Server",8,1113,2016,3.8,20,140,1576.96
"E5-1680V4","Server",8,1723,2016,4,20,140,1576.96
"E5-2603V4","Server",6,213,2016,1.7,15,85,1576.96
"E5-2608LV4","Embedded",8,363,2016,1.7,20,50,1576.96
"E5-2618LV4","Embedded",10,779,2016,3.2,25,75,1576.96
"E5-2623V4","Server",4,444,2016,3.2,10,85,1576.96
"E5-2628LV4","Embedded",12,1364,2016,2.4,30,75,1576.96
"E5-2630LV4","Server",10,612,2016,2.9,25,55,1576.96
"E5-2637V4","Server",4,996,2016,3.7,15,135,1576.96
"E5-2640V4","Server",10,939,2016,3.4,25,90,1576.96
"E5-2643V4","Server",6,1552,2016,3.7,20,135,1576.96
"E5-2648LV4","Embedded",14,1544,2016,2.5,35,75,1576.96
"E5-2650LV4","Server",14,1329,2016,2.5,35,65,1576.96
"E5-2667V4","Server",8,2057,2016,3.6,25,135,1576.96
"E5-2658V4","Embedded",14,1832,2016,2.8,35,105,1576.96
"E5-2683V4","Server",16,1846,2016,3,40,120,1576.96
"E5-2697AV4","Server",16,2891,2016,3.6,40,145,1576.96
"E5-2697V4","Server",18,2702,2016,3.6,45,145,1576.96
"E5-2698V4","Server",20,3226,2016,3.6,50,135,1576.96
"E5-2699RV4","Embedded",22,4560,2016,3.6,55,145,1576.96
"E5-2699V4","Server",22,4115,2016,3.6,55,145,1576.96
"E5-2699AV4","Server",22,4938,2016,3.6,55,145,1576.96
"E5-4610V4","Server",10,1219,2016,1.8,25,105,1576.96
"E5-4620V4","Server",10,1668,2016,2.6,25,105,1576.96
"E5-4627V4","Server",10,2225,2016,3.2,25,135,1576.96
"E5-4628LV4","Embedded",14,2535,2016,2.2,35,75,1576.96
"E5-4640V4","Server",12,2837,2016,2.6,30,105,1576.96
"E5-4650V4","Server",14,3838,2016,2.8,35,105,1576.96
"E5-4655V4","Server",8,4616,2016,3.2,30,135,1576.96
"E5-4660V4","Server",16,4727,2016,3,40,120,1576.96
"E5-4667V4","Server",18,5729,2016,3,45,135,1576.96
"E5-4669V4","Server",22,7007,2016,3,55,135,1576.96
"E5-2608LV3","Embedded",6,441,2014,2,15,52,768
"E5-2609V3","Server",6,306,2014,1.9,15,85,768
"E5-2618LV3","Embedded",8,779,2014,3.4,20,75,768
"E5-2623V3","Server",4,444,2014,3.5,10,105,768
"E5-2628LV3","Embedded",10,1364,2014,2.5,25,75,768
"E5-2630LV3","Server",8,612,2014,2.9,20,55,768
"E5-2637V3","Server",4,996,2014,3.7,15,135,768
"E5-2643V3","Server",6,1552,2014,3.7,20,135,768
"E5-2648LV3","Embedded",12,1544,2014,2.5,30,75,768
"E5-2650LV3","Server",12,1329,2014,2.5,30,65,768
"E5-2658V3","Embedded",12,1832,2014,2.9,30,105,768
"E5-2658AV3","Embedded",12,1832,2015,2.9,30,105,768
"E5-2667V3","Server",8,2057,2014,3.6,20,135,768
"E5-2683V3","Server",14,1846,2014,3,35,120,768
"E5-4610V3","Server",10,1219,2015,1.7,25,105,768
"E5-4620V3","Server",10,1668,2015,2.6,25,105,768
"E5-4627V3","Server",10,2225,2015,3.2,25,135,768
"E5-4640V3","Server",12,2859,2015,2.6,30,105,768
"E5-1680V3","Server",8,1723,2014,3.8,20,140,768
"E5-4648V3","Embedded",12,2405,2015,2.2,30,105,768
"E5-1660V3","Server",8,1080,2014,3.5,20,140,768
"E5-4650V3","Server",12,3838,2015,2.8,30,105,768
"E5-4655V3","Server",6,4616,2015,3.2,30,135,768
"E5-2408LV3","Embedded",4,256,2015,1.8,10,45,384
"E5-1630V3","Server",4,372,2014,3.8,10,140,768
"E5-4660V3","Server",14,4727,2015,2.9,35,120,768
"E5-2418LV3","Embedded",6,472,2015,2,15,50,384
"E5-4667V3","Server",16,5729,2015,2.9,40,135,768
"E5-2428LV3","Embedded",8,811,2015,1.8,20,55,384
"E5-4669V3","Server",18,7007,2015,2.9,45,135,768
"E5-2438LV3","Embedded",10,1555,2015,1.8,25,70,384
"E5-1428LV3","Embedded",8,608,2015,2,20,65,384
"E5-2667V2","Server",8,2057,2013,4,25,130,768
"E5-2650LV2","Server",10,1219,2013,2.1,25,70,768
"E5-2658V2","Embedded",10,1750,2013,3,25,95,768
"E5-2470V2","Server",10,1440,2014,3.2,25,95,384
"E5-2648LV2","Embedded",10,1479,2013,2.5,25,70,768
"E5-2450LV2","Server",10,1219,2014,2.1,25,60,384
"E5-2643V2","Server",6,1552,2013,3.8,25,130,768
"E5-2450V2","Server",8,1107,2014,3.3,20,95,384
"E5-4657LV2","Server",12,4394,2014,2.9,30,115,768
"E5-2448LV2","Embedded",10,1424,2014,2.4,25,70,384
"E5-2637V2","Server",4,996,2013,3.8,15,130,768
"E5-4650V2","Server",10,3616,2014,2.9,25,95,768
"E5-2440V2","Server",8,832,2014,2.4,20,95,384
"E5-2630LV2","Server",6,612,2013,2.8,15,60,768
"E5-2430LV2","Server",6,612,2014,2.8,15,60,384
"E5-4640V2","Server",10,2725,2014,2.7,20,95,768
"E5-2430V2","Server",6,551,2014,3,15,80,384
"E5-4627V2","Server",8,2108,2014,3.6,16,130,768
"E5-4624LV2","Embedded",10,2405,2014,2.5,25,70,768
"E5-2628LV2","Embedded",8,1216,2013,2.4,20,70,768
"E5-2428LV2","Embedded",8,1013,2014,2.3,20,60,384
"E5-2420V2","Server",6,406,2014,2.7,15,80,384
"E5-4620V2","Server",8,1611,2014,3,20,95,768
"E5-2618LV2","Embedded",6,632,2013,2,15,50,768
"E5-2418LV2","Embedded",6,607,2014,2,15,50,384
"E5-1650V2","Server",6,583,2013,3.9,12,130,256
"E5-4610V2","Server",8,1219,2014,2.7,16,95,768
"E5-4607V2","Server",6,885,2014,2.6,15,95,768
"E5-2407V2","Server",4,250,2014,2.4,10,80,384
"E5-1620V2","Server",4,294,2013,3.9,10,130,256
"E5-1428LV2","Embedded",6,494,2014,2.7,15,60,384
"E5-2603V2","Server",4,202,2013,1.8,10,80,768
"E5-2403V2","Server",4,192,2014,1.8,10,80,384
"E5-4603V2","Server",4,551,2014,2.2,10,95,768
"E5-2667","Server",6,1552,2012,3.5,15,130,384
"E5-2658","Embedded",8,1479,2012,2.4,20,95,384
"E5-2648L","Embedded",8,1266,2012,2.1,20,70,384
"E5-2650L","Server",8,1107,2012,2.3,20,70,384
"E5-2643","Server",4,885,2012,3.5,10,130,384
"E5-2450L","Server",8,1107,2012,2.3,20,70,384
"E5-2637","Server",2,885,2012,3.5,5,80,384
"E5-2448L","Embedded",8,1266,2012,2.1,20,70,384
"E5-2630L","Server",6,662,2012,2.5,15,60,384
"E5-2430L","Server",6,662,2012,2.5,15,60,384
"E5-2428L","Embedded",6,692,2012,2,15,60,384
"E5-1650","Server",6,583,2012,3.8,12,130,256
"E5-4617","Server",6,1611,2012,3.4,15,130,384
"E5-2418L","Embedded",4,428,2012,2.1,10,50,384
"E5-1620","Server",4,294,2012,3.8,10,130,375
"E3-1275V6","Server",4,339,2017,4.2,8,73,64
"E3-1280V6","Server",4,383,2017,4.2,8,72,64
"E3-1285V6","Server",4,450,2017,4.5,8,79,64
"E3-1505LV6","Embedded",4,433,2017,3,8,25,64
"E3-1505MV6","Mobile",4,434,2017,4,8,45,64
"E3-1535MV6","Mobile",4,623,2017,4.2,8,45,64
"E3-1235LV5","Server",4,250,2015,3,8,25,64
"E3-1240LV5","Server",4,278,2015,3.2,8,25,64
"E3-1260LV5","Server",4,294,2015,3.9,8,45,64
"E3-1268LV5","Embedded",4,377,2015,3.4,8,35,64
"E3-1280V5","Server",4,612,2015,4,8,80,64
"E3-1505MV5","Mobile",4,434,2015,3.7,8,45,64
"E3-1505LV5","Embedded",4,433,2015,2.8,8,25,64
"E3-1515MV5","Mobile",4,489,2016,3.7,8,45,64
"E3-1535MV5","Mobile",4,623,2015,3.8,8,45,64
"E3-1545MV5","Mobile",4,679,2016,3.8,8,45,64
"E3-1558LV5","Embedded",4,396,2016,3.3,8,45,64
"E3-1565LV5","Server",4,417,2016,3.5,8,35,64
"E3-1575MV5","Mobile",4,1207,2016,3.9,8,45,64
"E3-1578LV5","Embedded",4,449,2016,3.4,8,45,64
